Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio
25,CUNDINAMARCA,1,AGUA DE DIOS
25,CUNDINAMARCA,19,ALBAN
25,CUNDINAMARCA,35,ΑΝΑΡΟΙΜΑ
25,CUNDINAMARCA,40,ANOLAIMA
25,CUNDINAMARCA,53,ARBELAEZ
25,CUNDINAMARCA,86,BELTRAN
25,CUNDINAMARCA,95,BITUIMA
25,CUNDINAMARCA,99,BOJACA
25,CUNDINAMARCA,120,CABRERA
25,CUNDINAMARCA,123,CACHIPAY
25,CUNDINAMARCA,126,CAJICA
25,CUNDINAMARCA,148,CAPARRAΡΙ
25,CUNDINAMARCA,151,CAQUEZA
25,CUNDINAMARCA,154,CARMEN DE CARUPA
25,CUNDINAMARCA,168,CHAGUANI
25,CUNDINAMARCA,175,CHIA
25,CUNDINAMARCA,178,CHIPAQUE
25,CUNDINAMARCA,181,CHOACHI
25,CUNDINAMARCA,183,CHOCONTA
25,CUNDINAMARCA,200,COGUA
25,CUNDINAMARCA,214,COTA
25,CUNDINAMARCA,224,CUCUNUBA
25,CUNDINAMARCA,245,EL COLEGIO
25,CUNDINAMARCA,258,EL PEÑON
25,CUNDINAMARCA,260,EL ROSAL
25,CUNDINAMARCA,269,FACATATIVA
25,CUNDINAMARCA,279,FOMEQUE
25,CUNDINAMARCA,281,FOSCA
25,CUNDINAMARCA,286,FUNZA
25,CUNDINAMARCA,288,FUQUENE
25,CUNDINAMARCA,290,FUSAGASUGA
25,CUNDINAMARCA,293,GACHALA
25,CUNDINAMARCA,295,GACHANCIPA
25,CUNDINAMARCA,297,GACHETA
25,CUNDINAMARCA,299,GAMA
25,CUNDINAMARCA,307,GIRARDOT
25,CUNDINAMARCA,312,GRANADA
25,CUNDINAMARCA,317,GUACHETA
25,CUNDINAMARCA,320,GUADUAS
25,CUNDINAMARCA,322,GUASCA
25,CUNDINAMARCA,324,GUATAQUI
25,CUNDINAMARCA,326,GUATAVITA
25,CUNDINAMARCA,328,GUAYABAL DE SIQUIMA
25,CUNDINAMARCA,335,GUAYABETAL
25,CUNDINAMARCA,339,GUTIERREZ
25,CUNDINAMARCA,368,JERUSALEN
25,CUNDINAMARCA,372,JUNIN
25,CUNDINAMARCA,377,LA CALERA
25,CUNDINAMARCA,386,LA MESA
25,CUNDINAMARCA,394,LA PALMA
25,CUNDINAMARCA,398,LA PEÑA
25,CUNDINAMARCA,402,LA VEGA
25,CUNDINAMARCA,407,LENGUAZAQUE
25,CUNDINAMARCA,426,MACHETA
25,CUNDINAMARCA,430,MADRID
25,CUNDINAMARCA,436,MANTA
25,CUNDINAMARCA,438,MEDINA
25,CUNDINAMARCA,473,MOSQUERA
25,CUNDINAMARCA,483,NARIÑO
25,CUNDINAMARCA,486,NEMOCON
25,CUNDINAMARCA,488,NILO
25,CUNDINAMARCA,489,NIMAIMA
25,CUNDINAMARCA,491,NOCAIMA
25,CUNDINAMARCA,506,VENECIA
25,CUNDINAMARCA,513,PACHO
25,CUNDINAMARCA,518,PAIME
25,CUNDINAMARCA,524,PANDI
25,CUNDINAMARCA,530,PARATEBUENO
25,CUNDINAMARCA,535,PASCA
25,CUNDINAMARCA,572,PUERTO SALGAR
25,CUNDINAMARCA,580,PULI
25,CUNDINAMARCA,592,QUEBRADANEGRA
25,CUNDINAMARCA,594,QUETAME
25,CUNDINAMARCA,596,QUIPILE
25,CUNDINAMARCA,599,APULO
25,CUNDINAMARCA,612,RICAURTE
25,CUNDINAMARCA,645,SAN ANTONIO DEL TEQUENDAN
25,CUNDINAMARCA,649,SAN BERNARDO
25,CUNDINAMARCA,653,SAN CAYETANO
25,CUNDINAMARCA,658,SAN FRANCISCO
25,CUNDINAMARCA,662,SAN JUAN DE RIO SECO
25,CUNDINAMARCA,718,SASAIMA
25,CUNDINAMARCA,736,SESQUILE
25,CUNDINAMARCA,740,SIBATE
25,CUNDINAMARCA,743,SILVANIA
25,CUNDINAMARCA,745,SIMIJACA
25,CUNDINAMARCA,754,SOACHA
25,CUNDINAMARCA,758,SOPO
25,CUNDINAMARCA,769,SUBACHOQUE
25,CUNDINAMARCA,772,SUESCA
25,CUNDINAMARCA,777,SUPATA
25,CUNDINAMARCA,779,SUSA
25,CUNDINAMARCA,781,SUTATAUSA
25,CUNDINAMARCA,785,TABIO
25,CUNDINAMARCA,793,TAUSA
25,CUNDINAMARCA,797,TENA
25,CUNDINAMARCA,799,TENJO
25,CUNDINAMARCA,805,TIBACUY
25,CUNDINAMARCA,807,TIBIRITA
25,CUNDINAMARCA,815,TOCAIMA
25,CUNDINAMARCA,817,TOCANCIPA
25,CUNDINAMARCA,823,TOPAIPI
25,CUNDINAMARCA,839,UBALA
25,CUNDINAMARCA,841,UBAQUE
25,CUNDINAMARCA,843,VILLA DE SAN DIEGO DE UBATE
25,CUNDINAMARCA,845,UNE
25,CUNDINAMARCA,851,UTICA
25,CUNDINAMARCA,862,VERGARA
25,CUNDINAMARCA,867,VIANI
25,CUNDINAMARCA,871,VILLAGOMEZ
25,CUNDINAMARCA,873,VILLAPINZON
25,CUNDINAMARCA,875,VILLETA
25,CUNDINAMARCA,878,VIOTA
25,CUNDINAMARCA,885,YACOPI
25,CUNDINAMARCA,898,ZIPACON
25,CUNDINAMARCA,899,ZIPAQUIRA
